system,phase,filename,reason
CuY,Cu1Y3,struct_24405_0_relaxed.vasp,missing_dft_formation_energy
CuY,Cu1Y3,struct_24405_2_relaxed.vasp,missing_dft_formation_energy
CuY,Cu1Y4,struct_10410_2_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg1,struct_1214_2_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg1,struct_1223_0_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg1,struct_1565_0_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg1,struct_1650_1_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg1,struct_3474_1_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg1,struct_3582_1_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg1,struct_3672_2_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg1,struct_3801_7_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg1,struct_4376_6_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_1241_0_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_2185_6_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_2467_0_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_2468_3_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_2542_0_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_2555_0_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_2560_0_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_5123_7_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_5861_0_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_6320_3_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_6503_4_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_6982_5_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_7006_6_relaxed.vasp,missing_dft_formation_energy
LiMg,Li1Mg2,struct_7036_3_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_1053_7_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_1852_5_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_2115_7_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_2180_4_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_2355_5_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_2499_9_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_2503_6_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_5917_6_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_6051_5_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_6139_6_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_6343_9_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_6378_8_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_6530_7_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_6734_9_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_6751_5_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_6786_4_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_6841_2_relaxed.vasp,missing_dft_formation_energy
LiMg,Li2Mg1,struct_6959_8_relaxed.vasp,missing_dft_formation_energy
