system,phase,filename,formation_energy_eV_per_atom,distance_to_hull_eV_per_atom,source_relative_path,sha256
AgTi,Ag1Ti1,struct_3671_3_relaxed.vasp,-0.059105330937500256,0.0,AgTi/Ag1Ti1/xyz2poscar/struct_3671_3_relaxed.vasp,aa025ca9c0b345cb9c5170cdf6f036a2d1f0e9ca9bd9115bd687b8d7f938751f
AgTi,Ag1Ti2,struct_1684_8_relaxed.vasp,-0.060766787222224,0.0,AgTi/Ag1Ti2/xyz2poscar/struct_1684_8_relaxed.vasp,aa40356c77d45c3c720d837bb20af6a9e888b4fc136a7757464d4f0a5e9a9b6e
AgTi,Ag3Ti4,struct_8697_3_relaxed.vasp,-0.05930798273809993,0.0005094008928533608,AgTi/Ag3Ti4/xyz2poscar/struct_8697_3_relaxed.vasp,83d9ab04b2606eff5190937803d90235c21ee5e45466316c7d9733961af47cf0
AlAu,Al1Au2,struct_7226_3_relaxed.vasp,-0.3261347488888894,0.0,AlAu/Al1Au2/xyz2poscar/struct_7226_3_relaxed.vasp,780b35d9fe903144e5f9b7a1ed7c76d212a1747022f7340bb8a3801f1c9ffe70
AlAu,Al1Au4,struct_8389_6_relaxed.vasp,-0.21667835049999978,0.0,AlAu/Al1Au4/xyz2poscar/struct_8389_6_relaxed.vasp,457f78f2cea9495e2997039ec2430e09c123a50ddcda3f5fc0c8066b5adb4b5e
AlAu,Al2Au1,struct_1839_7_relaxed.vasp,-0.43767856750000017,0.0,AlAu/Al2Au1/xyz2poscar/struct_1839_7_relaxed.vasp,f59379c3009f6d36f3145dfcd7d64889760b19990522c0baf2cb57439c96da38
AlCu,Al1Cu2,struct_1489_8_relaxed.vasp,-0.25106374750000054,0.0,AlCu/Al1Cu2/xyz2poscar/struct_1489_8_relaxed.vasp,239892ab809930f35157f8e1cea3eea326373e80d2af3976ab375f70e627a9ef
AlCu,Al1Cu3,struct_4765_9_relaxed.vasp,-0.24028218749999475,0.0,AlCu/Al1Cu3/xyz2poscar/struct_4765_9_relaxed.vasp,29969fe755e63b193e44bce79c5b84e800f6147810b5296434e314320223739e
AlCu,Al1Cu5,struct_2550_6_relaxed.vasp,-0.18009929791666401,0.0,AlCu/Al1Cu5/xyz2poscar/struct_2550_6_relaxed.vasp,fff6bd5af8fb85a33a08792c4b06f2d90de021f1765886b96179d8d21b974d57
AlCu,Al2Cu1,struct_2992_4_relaxed.vasp,-0.20323634777777658,0.0,AlCu/Al2Cu1/xyz2poscar/struct_2992_4_relaxed.vasp,66e2dbc4740b3c43f66bc803f5cd9f9772f87857e53cb0ea8148b8bda36d1d28
AlHf,Al1Hf3,struct_14833_8_relaxed.vasp,-0.22742664624999698,0.0005745908333327776,AlHf/Al1Hf3/xyz2poscar/struct_14833_8_relaxed.vasp,e9e37f5aea2dea07a633ab15fa6a7a59dcfa053156e83d8e54a355ef33d0d8f6
AlHf,Al1Hf3,struct_15897_0_relaxed.vasp,-0.2278387877777735,0.00016244930555625592,AlHf/Al1Hf3/xyz2poscar/struct_15897_0_relaxed.vasp,653b3aba26415b41a0c7d7f1f073a252dda7b05782e625f6b68f1d9bd94998ed
AlHf,Al1Hf3,struct_18636_0_relaxed.vasp,-0.22800123708332976,0.0,AlHf/Al1Hf3/xyz2poscar/struct_18636_0_relaxed.vasp,0b5946a851e7bd296e2fe5a1651dd70d314813ae11045d8a12357e64713d4515
AlHf,Al2Hf1,struct_2265_2_relaxed.vasp,-0.4405288012500013,0.0,AlHf/Al2Hf1/xyz2poscar/struct_2265_2_relaxed.vasp,df31044fc491d01b9f789fa264a827d1844eaf2dd217d60aa290ff17606d6822
AlHf,Al3Hf1,struct_6558_9_relaxed.vasp,-0.39132307968749824,0.0,AlHf/Al3Hf1/xyz2poscar/struct_6558_9_relaxed.vasp,ebb18c126f18894e52d8d257cb26d5e11b0ded5f496c4df122915f9cd6d30b6c
AlHf,Al3Hf4,struct_4978_6_relaxed.vasp,-0.389679334464281,0.0,AlHf/Al3Hf4/xyz2poscar/struct_4978_6_relaxed.vasp,54f076ea160583d9724377fcdca8b96e397712d6975e72f62007cfce4d83d1e9
