system,phase,filename,reduced_formula,number_of_atoms,space_group_symbol,space_group_number,target_element,target_element_fraction,dft_formation_energy_eV_per_atom,dft_distance_to_combined_hull_eV_per_atom,mlip_formation_energy_eV_per_atom,mlip_distance_to_search_hull_eV_per_atom,materials_project_match,materials_project_references_checked,source_relative_path,sha256
AlHf,Al1Hf3,struct_14833_8_relaxed.vasp,Hf3Al,32,I4/mmm,139,Hf,0.75,-0.22742664624999698,0.0005745908333327776,-0.22186821314661387,0.010634422256900838,False,1,AlHf/Al1Hf3/xyz2poscar/struct_14833_8_relaxed.vasp,e9e37f5aea2dea07a633ab15fa6a7a59dcfa053156e83d8e54a355ef33d0d8f6
AlHf,Al1Hf3,struct_15897_0_relaxed.vasp,Hf3Al,36,Pm-3m,221,Hf,0.75,-0.2278387877777735,0.00016244930555625592,-0.2325026354035147,0.0,False,1,AlHf/Al1Hf3/xyz2poscar/struct_15897_0_relaxed.vasp,653b3aba26415b41a0c7d7f1f073a252dda7b05782e625f6b68f1d9bd94998ed
AlHf,Al1Hf3,struct_18636_0_relaxed.vasp,Hf3Al,48,Cmcm,63,Hf,0.75,-0.22800123708332976,0.0,-0.22980596644068166,0.0026966689628330487,False,1,AlHf/Al1Hf3/xyz2poscar/struct_18636_0_relaxed.vasp,0b5946a851e7bd296e2fe5a1651dd70d314813ae11045d8a12357e64713d4515
AlPd,Al1Pd3,struct_3949_3_relaxed.vasp,AlPd3,48,Cmcm,63,Pd,0.75,-0.6373318252083292,0.0,-0.6074058581560937,0.009395463018659456,False,1,AlPd/Al1Pd3/xyz2poscar/struct_3949_3_relaxed.vasp,9209d6ad2883d880fc547f102ea29f425614bafc3d6b29ae94e317433ea92796
AlTi,Al3Ti1,struct_1643_4_relaxed.vasp,TiAl3,24,P4/mmm,123,Ti,0.25,-0.40221285291666814,0.0,-0.3987668350359848,0.014396322370381909,False,3,AlTi/Al3Ti1/xyz2poscar/struct_1643_4_relaxed.vasp,40e0922325f824ea6a785db5063f6125efcdb53177bb637d5c8ee8d8f1ef61f1
AlTi,Al3Ti4,struct_3714_1_relaxed.vasp,Ti4Al3,56,P4/mmm,123,Ti,0.5714285714285714,-0.3677174387500009,0.0,-0.39402959712043334,0.012204932119210699,False,0,AlTi/Al3Ti4/xyz2poscar/struct_3714_1_relaxed.vasp,12e0fde7dae2eab7e192002377cc66726d4acf9c423e011166916040375bcd27
AlTi,Al5Ti3,struct_3701_7_relaxed.vasp,Ti3Al5,64,P-4m2,115,Ti,0.375,-0.42095992156250084,8.628828125578636e-06,-0.43436582883865693,0.006054172799109914,False,2,AlTi/Al5Ti3/xyz2poscar/struct_3701_7_relaxed.vasp,e600ce83d5be6894c8ffde5e8658314eaaa7391af0fddeba3a6d19a8ed09836c
CuPd,Cu1Pd5,struct_2624_1_relaxed.vasp,CuPd5,48,Pmmm,47,Pd,0.8333333333333334,-0.05544054374999637,0.000358221249999964,-0.044946484230081886,0.0019971673951030555,False,0,CuPd/Cu1Pd5/xyz2poscar/struct_2624_1_relaxed.vasp,1f338a5366698f2018e0e2b2735c556291ed7fb9150ede5647055522259cffab
CuPd,Cu1Pd5,struct_2795_0_relaxed.vasp,CuPd5,48,Pmma,51,Pd,0.8333333333333334,-0.05579876499999633,0.0,-0.0445994143174655,0.0023442373077194392,False,0,CuPd/Cu1Pd5/xyz2poscar/struct_2795_0_relaxed.vasp,21d154e9fb6eea04230916e8c83c5c0f067658b82dcefbf554b0e57e37fc45fc
CuPd,Cu1Pd5,struct_2938_4_relaxed.vasp,CuPd5,48,P4/nmm,129,Pd,0.8333333333333334,-0.05548682812499628,0.0003119368750000573,-0.04585464710138076,0.0010890045238041782,False,0,CuPd/Cu1Pd5/xyz2poscar/struct_2938_4_relaxed.vasp,17b7c48905d13951e2cb8a58feeab2ac82c1eb863cb85421c11cdb18d44bd6c3
