r_ij,median_interpolated,median_smoothed,E_ij,source,is_original_0p02A_grid
1.50,-1.20970119,-1.31472915,-1.31472915,maincluster_pchip_resampled,False
1.51,-1.27317803,-1.33438088,-1.33438088,maincluster_observed_0p02A_bin,True
1.52,-1.32944468,-1.35047542,-1.35047542,maincluster_pchip_resampled,False
1.53,-1.38090251,-1.36408015,-1.36408015,maincluster_observed_0p02A_bin,True
1.54,-1.40559515,-1.37865021,-1.37865021,maincluster_pchip_resampled,False
1.55,-1.41300532,-1.39596984,-1.39596984,maincluster_observed_0p02A_bin,True
1.56,-1.41947408,-1.41281048,-1.41281048,maincluster_pchip_resampled,False
1.57,-1.43509135,-1.42658406,-1.42658406,maincluster_observed_0p02A_bin,True
1.58,-1.45740797,-1.43882759,-1.43882759,maincluster_pchip_resampled,False
1.59,-1.46786630,-1.45001830,-1.45001830,maincluster_observed_0p02A_bin,True
1.60,-1.47098248,-1.46177839,-1.46177839,maincluster_pchip_resampled,False
1.61,-1.47614190,-1.46694403,-1.46694403,maincluster_observed_0p02A_bin,True
1.62,-1.50255606,-1.46714360,-1.46714360,maincluster_pchip_resampled,False
1.63,-1.52279918,-1.46730275,-1.46730275,maincluster_observed_0p02A_bin,True
1.64,-1.51455743,-1.46767982,-1.46767982,maincluster_pchip_resampled,False
1.65,-1.49698263,-1.46793685,-1.46793685,maincluster_observed_0p02A_bin,True
1.66,-1.46159395,-1.45528204,-1.45528204,maincluster_pchip_resampled,False
1.67,-1.42761316,-1.43336662,-1.43336662,maincluster_observed_0p02A_bin,True
1.68,-1.41740976,-1.41378926,-1.41378926,maincluster_pchip_resampled,False
1.69,-1.40496307,-1.39307376,-1.39307376,maincluster_observed_0p02A_bin,True
1.70,-1.35596833,-1.37202407,-1.37202407,maincluster_pchip_resampled,False
1.71,-1.31115067,-1.34914172,-1.34914172,maincluster_observed_0p02A_bin,True
1.72,-1.28482490,-1.32360546,-1.32360546,maincluster_pchip_resampled,False
1.73,-1.26626702,-1.29699756,-1.29699756,maincluster_observed_0p02A_bin,True
1.74,-1.25197570,-1.26968820,-1.26968820,maincluster_pchip_resampled,False
1.75,-1.23333904,-1.24241753,-1.24241753,maincluster_observed_0p02A_bin,True
1.76,-1.21636105,-1.21684379,-1.21684379,maincluster_pchip_resampled,False
1.77,-1.20614403,-1.19451150,-1.19451150,maincluster_observed_0p02A_bin,True
1.78,-1.19119632,-1.17466313,-1.17466313,maincluster_pchip_resampled,False
1.79,-1.16757031,-1.15690083,-1.15690083,maincluster_observed_0p02A_bin,True
1.80,-1.14503217,-1.13857544,-1.13857544,maincluster_pchip_resampled,False
1.81,-1.12318651,-1.12043238,-1.12043238,maincluster_observed_0p02A_bin,True
1.82,-1.10337714,-1.10391112,-1.10391112,maincluster_pchip_resampled,False
1.83,-1.08395554,-1.08780795,-1.08780795,maincluster_observed_0p02A_bin,True
1.84,-1.06069790,-1.07085263,-1.07085263,maincluster_pchip_resampled,False
